UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
root          1      0      1  0    1 20:54 ?        00:00:03 /sbin/init auto noprompt
root          2      0      2  0    1 20:54 ?        00:00:00 [kthreadd]
root          3      2      3  0    1 20:54 ?        00:00:02 [ksoftirqd/0]
root          5      2      5  0    1 20:54 ?        00:00:00 [kworker/0:0H]
root          7      2      7  0    1 20:54 ?        00:00:03 [rcu_sched]
root          8      2      8  0    1 20:54 ?        00:00:00 [rcu_bh]
root          9      2      9  0    1 20:54 ?        00:00:00 [migration/0]
root         10      2     10  0    1 20:54 ?        00:00:00 [watchdog/0]
root         11      2     11  0    1 20:54 ?        00:00:00 [watchdog/1]
root         12      2     12  0    1 20:54 ?        00:00:00 [migration/1]
root         13      2     13  0    1 20:54 ?        00:00:01 [ksoftirqd/1]
root         15      2     15  0    1 20:54 ?        00:00:00 [kworker/1:0H]
root         16      2     16  0    1 20:54 ?        00:00:00 [kdevtmpfs]
root         17      2     17  0    1 20:54 ?        00:00:00 [netns]
root         18      2     18  0    1 20:54 ?        00:00:00 [perf]
root         19      2     19  0    1 20:54 ?        00:00:00 [khungtaskd]
root         20      2     20  0    1 20:54 ?        00:00:00 [writeback]
root         21      2     21  0    1 20:54 ?        00:00:00 [ksmd]
root         22      2     22  0    1 20:54 ?        00:00:31 [khugepaged]
root         23      2     23  0    1 20:54 ?        00:00:00 [crypto]
root         24      2     24  0    1 20:54 ?        00:00:00 [kintegrityd]
root         25      2     25  0    1 20:54 ?        00:00:00 [bioset]
root         26      2     26  0    1 20:54 ?        00:00:00 [kblockd]
root         27      2     27  0    1 20:54 ?        00:00:00 [ata_sff]
root         28      2     28  0    1 20:54 ?        00:00:00 [md]
root         29      2     29  0    1 20:54 ?        00:00:00 [devfreq_wq]
root         33      2     33  0    1 20:54 ?        00:00:00 [kswapd0]
root         34      2     34  0    1 20:54 ?        00:00:00 [vmstat]
root         35      2     35  0    1 20:54 ?        00:00:00 [fsnotify_mark]
root         36      2     36  0    1 20:54 ?        00:00:00 [ecryptfs-kthrea]
root         52      2     52  0    1 20:54 ?        00:00:00 [kthrotld]
root         54      2     54  0    1 20:54 ?        00:00:00 [acpi_thermal_pm]
root         55      2     55  0    1 20:54 ?        00:00:00 [bioset]
root         56      2     56  0    1 20:54 ?        00:00:00 [bioset]
root         57      2     57  0    1 20:54 ?        00:00:00 [bioset]
root         58      2     58  0    1 20:54 ?        00:00:00 [bioset]
root         59      2     59  0    1 20:54 ?        00:00:00 [bioset]
root         60      2     60  0    1 20:54 ?        00:00:00 [bioset]
root         61      2     61  0    1 20:54 ?        00:00:00 [bioset]
root         62      2     62  0    1 20:54 ?        00:00:00 [bioset]
root         63      2     63  0    1 20:54 ?        00:00:00 [bioset]
root         64      2     64  0    1 20:54 ?        00:00:00 [bioset]
root         65      2     65  0    1 20:54 ?        00:00:00 [bioset]
root         66      2     66  0    1 20:54 ?        00:00:00 [bioset]
root         67      2     67  0    1 20:54 ?        00:00:00 [bioset]
root         68      2     68  0    1 20:54 ?        00:00:00 [bioset]
root         69      2     69  0    1 20:54 ?        00:00:00 [bioset]
root         70      2     70  0    1 20:54 ?        00:00:00 [bioset]
root         71      2     71  0    1 20:54 ?        00:00:00 [bioset]
root         72      2     72  0    1 20:54 ?        00:00:00 [bioset]
root         73      2     73  0    1 20:54 ?        00:00:00 [bioset]
root         74      2     74  0    1 20:54 ?        00:00:00 [bioset]
root         75      2     75  0    1 20:54 ?        00:00:00 [bioset]
root         76      2     76  0    1 20:54 ?        00:00:00 [bioset]
root         77      2     77  0    1 20:54 ?        00:00:00 [bioset]
root         78      2     78  0    1 20:54 ?        00:00:00 [bioset]
root         79      2     79  0    1 20:54 ?        00:00:00 [scsi_eh_0]
root         80      2     80  0    1 20:54 ?        00:00:00 [scsi_tmf_0]
root         81      2     81  0    1 20:54 ?        00:00:00 [scsi_eh_1]
root         82      2     82  0    1 20:54 ?        00:00:00 [scsi_tmf_1]
root         87      2     87  0    1 20:54 ?        00:00:00 [ipv6_addrconf]
root        102      2    102  0    1 20:54 ?        00:00:00 [deferwq]
root        103      2    103  0    1 20:54 ?        00:00:00 [charger_manager]
root        148      2    148  0    1 20:54 ?        00:00:00 [mpt_poll_0]
root        149      2    149  0    1 20:54 ?        00:00:00 [mpt/0]
root        151      2    151  0    1 20:54 ?        00:00:00 [kpsmoused]
root        152      2    152  0    1 20:54 ?        00:00:00 [scsi_eh_2]
root        153      2    153  0    1 20:54 ?        00:00:00 [scsi_tmf_2]
root        154      2    154  0    1 20:54 ?        00:00:00 [bioset]
root        156      2    156  0    1 20:54 ?        00:00:00 [ttm_swap]
root        171      2    171  0    1 20:54 ?        00:00:00 [scsi_eh_3]
root        172      2    172  0    1 20:54 ?        00:00:00 [scsi_tmf_3]
root        173      2    173  0    1 20:54 ?        00:00:00 [scsi_eh_4]
root        174      2    174  0    1 20:54 ?        00:00:00 [scsi_tmf_4]
root        175      2    175  0    1 20:54 ?        00:00:00 [scsi_eh_5]
root        176      2    176  0    1 20:54 ?        00:00:00 [scsi_tmf_5]
root        177      2    177  0    1 20:54 ?        00:00:00 [scsi_eh_6]
root        178      2    178  0    1 20:54 ?        00:00:00 [scsi_tmf_6]
root        179      2    179  0    1 20:54 ?        00:00:00 [scsi_eh_7]
root        180      2    180  0    1 20:54 ?        00:00:00 [scsi_tmf_7]
root        181      2    181  0    1 20:54 ?        00:00:00 [scsi_eh_8]
root        182      2    182  0    1 20:54 ?        00:00:00 [scsi_tmf_8]
root        183      2    183  0    1 20:54 ?        00:00:00 [scsi_eh_9]
root        184      2    184  0    1 20:54 ?        00:00:00 [scsi_tmf_9]
root        185      2    185  0    1 20:54 ?        00:00:00 [scsi_eh_10]
root        186      2    186  0    1 20:54 ?        00:00:00 [scsi_tmf_10]
